Year,PH1_UNIT1_2 (DARTLMP) Average,PH1_UNIT1_2 (RTLMP) Average,Glob,PNHNDL (ACTIVE_CONSTRAINT_LIMIT) Average,PH1_UNIT1_2 (DALMP) Average,HB_NORTH (DALMP) Total,HB_NORTH (DARTLMP) Average
1-May,-1.576146,6.948229,1968.027917,3562.5,5.372083,333.06,-4.555729
2-May,0.128854,11.524479,1939.135833,2945,11.653333,347.3,-1.818646
3-May,13.965417,13.762917,1350.771667,2945,27.728333,681.48,-13.564583
4-May,14.044375,7.786875,2415.42625,2931.825,21.83125,640.71,-11.127396
5-May,5.949271,5.499063,1801.895,2909.510345,11.448333,407.35,-3.667917
6-May,5.115313,10.889688,1562.725833,2849.047619,16.005,461.03,-3.843438
7-May,7.115833,-6.991667,2813.13625,2927.115385,0.124167,336.28,-1.090729
8-May,-0.893958,1.837292,2264.840833,2935.027972,0.943333,378.94,-0.021771
9-May,1.610417,14.838333,1539.850417,2939.655172,16.44875,426.61,-2.749063
10-May,-12.894583,24.690417,1392.399167,2934.431818,11.795833,368.13,9.534583
11-May,-4.027188,10.950104,2267.233333,2842.125926,6.922917,346.98,0.542083
12-May,-4.468438,18.740938,946.182917,,14.2725,404.98,1.829583
13-May,7.541042,-1.388125,2647.39625,2892.716418,6.152917,426.8,-5.770208
14-May,5.908333,5.93875,1937.8675,2852,11.847083,453.64,-2.870833
15-May,3.50625,12.75,1422.6275,,16.25625,427.44,-5.004896
16-May,6.444063,12.394688,774.654167,,18.83875,452.37,-6.512188
17-May,6.729896,14.681354,716.642917,,21.41125,513.24,-6.686146
18-May,6.483229,12.419271,1619.292917,3328.125,18.9025,477.12,-7.098958
19-May,4.063646,22.980521,1587.036667,3337.5,27.044167,680.72,-4.755208
20-May,2.879271,15.636146,2284.703333,3373.026316,18.515417,464.89,-3.227813
21-May,2.001667,15.942083,2700.227083,3419.642857,17.94375,441.32,-2.312188
22-May,-23.182708,40.627292,1208.286667,3187.5,17.444583,426.77,23.353958
23-May,6.280313,3.391771,3054.020833,3559.615385,9.672083,363.6,-1.510313
24-May,0.581771,9.869479,2518.952083,3562.5,10.45125,328.23,-0.561979
25-May,1.941771,12.930313,2303.27875,3518.585526,14.872083,378.39,-2.649896
26-May,-3.376875,20.979375,827.057083,,17.6025,421.82,3.380104
27-May,3.929479,15.116354,903.53375,,19.045833,456.97,-3.929896
28-May,4.223854,13.940729,1303.941667,,18.164583,435.83,-4.158854
29-May,2.375938,16.939479,1143.385,3352.5,19.315417,470.46,-2.474167
30-May,-1.532083,15.846667,3128.379583,3562.5,14.314583,402.81,-0.937083
31-May,0.015208,16.243542,2202.222917,3470.357143,16.25875,409.95,-0.788021
1-Jun,10.498646,7.959271,2252.98,2876.991576,18.457917,460.91,-3.716354
2-Jun,10.137396,7.812604,1973.021667,2558.076923,17.95,450.83,-2.269167
3-Jun,3.5325,15.1025,1528.295417,2565,18.635,538.44,-6.194063
4-Jun,8.636563,10.249688,2076.54875,2532.362637,18.88625,591.71,-5.87875
5-Jun,6.147604,3.419896,2230.394167,2530.865285,9.5675,517.71,-3.220729
6-Jun,16.052604,-19.398021,2674.282917,2561.846715,-3.345417,501.2,2.518229
7-Jun,-7.248542,-8.036875,3174.95875,3077.604167,-15.285417,533.13,-6.783021
8-Jun,31.297292,14.065208,3061.08125,3562.5,45.3625,1204.59,-34.290313
9-Jun,2.507813,8.838854,2924.553333,3562.5,11.346667,553.91,-8.842917
10-Jun,7.554375,11.895208,634.502083,2718,19.449583,471.64,-5.300417
11-Jun,14.775833,-20.708333,2985.7575,2830.416667,-5.9325,383.54,-6.554688
12-Jun,6.568438,-4.722188,2894.877083,2843.85159,1.84625,403.03,-2.683958
13-Jun,4.747188,-18.372188,3038.964167,2850,-13.625,385.53,-2.2575
14-Jun,4.905833,-12.61625,2978.176667,2850,-7.710417,392.55,-2.877708
15-Jun,7.425729,-2.417396,2852.235,2835.365854,5.008333,440.13,-2.530521
16-Jun,2.204306,-7.452639,2916.12,2818.543689,-7.638333,419.11,-2.232861
