date,PanRT,PanWind,ErcotWind,,,
1-Aug-19,30.33,1694,1694,,,
2-Aug-19,147.51,1368,1368,,,
3-Aug-19,24.71,1225,1225,,,
4-Aug-19,39.36,332,332,,,
5-Aug-19,311.58,810,810,,,
6-Aug-19,188.48,832,832,,,
7-Aug-19,28.98,2065,2065,,,
8-Aug-19,35.41,1574,1574,,,
9-Aug-19,171.63,776,776,,,
10-Aug-19,30.93,1081,1081,,,
11-Aug-19,24.3,1814,1814,,,
12-Aug-19,602.14,1122,1122,,,
13-Aug-19,1524.58,634,634,,,
14-Aug-19,165.49,636,636,,,
15-Aug-19,1742.72,1346,1346,,,
16-Aug-19,189.43,2244,2244,,,
17-Aug-19,20.7,2082,2082,,,
18-Aug-19,26.54,1386,1386,,,
19-Aug-19,36.73,2079,2079,,,
20-Aug-19,40.32,1502,1502,,,
21-Aug-19,49.18,1560,1560,,,
22-Aug-19,171.08,562,562,,,
23-Aug-19,31.13,1149,1149,,,
24-Aug-19,22.99,1052,1052,,,
25-Aug-19,23.45,887,887,,,
26-Aug-19,29.26,1847,1847,,,
27-Aug-19,14.86,1305,1305,,,
28-Aug-19,55.29,1243,1243,,,
29-Aug-19,43.22,2031,2031,,,
30-Aug-19,19.62,1742,1742,,,
31-Aug-19,20.88,609,609,,,
