state,abbr,DA,Wind,RT
6/1/2020,,-0.29,1,3409
6/2/2020,,0.56,2,3563
6/3/2020,,0.72,3,3563
6/4/2020,,-5.26,19,2452
6/5/2020,,-33.31,20,2464
6/6/2020,,-34.50,21,2565
6/7/2020,,-34.00,22,2565
6/8/2020,,-30.96,23,2565
6/9/2020,,-35.70,0,2565
6/10/2020,,-29.75,1,2565
6/11/2020,,-26.05,2,2565
6/12/2020,,-23.28,3,2565
6/13/2020,,-12.57,4,2565
6/14/2020,,-8.36,5,2565
6/15/2020,,0.96,6,2565
6/16/2020,,-0.70,7,2565
6/17/2020,,-0.47,8,2565
6/18/2020,,-1.59,9,2565
6/19/2020,,-1.58,10,2565
6/20/2020,,-1.29,11,2565
6/21/2020,,-21.25,22,2445
6/22/2020,,-32.10,23,2565
6/23/2020,,-27.90,0,2565
6/24/2020,,3.64,1,2565
6/25/2020,,8.59,2,2565
6/26/2020,,14.96,3,2565
6/27/2020,,13.69,4,2565
6/28/2020,,9.45,5,2565
6/29/2020,,6.35,6,2565
6/30/2020,,0.02,7,2565
7/1/2020,,-3.74,19,2565
7/2/2020,,-1.48,20,2565
7/3/2020,,-0.40,23,2565
7/4/2020,,1.05,0,2565
6/4/2020,,5.84,1,2565
6/4/2020,,13.78,4,2565
6/4/2020,,11.73,5,2565
6/4/2020,,6.08,6,2565
6/4/2020,,-14.36,7,2565
6/4/2020,,-22.48,8,2565
6/4/2020,,-0.39,9,2565
6/4/2020,,-1.67,10,2565
6/4/2020,,-1.49,11,2565
6/4/2020,,-61.02,16,2453
6/4/2020,,-71.62,17,2525
6/4/2020,,-48.27,18,2484
6/4/2020,,-23.65,19,2484
6/4/2020,,-17.00,20,2484
6/4/2020,,-8.62,21,2484
6/4/2020,,-12.77,22,2491
6/4/2020,,5.15,23,2565
6/5/2020,,11.39,0,2565
6/5/2020,,22.63,1,2565
6/5/2020,,15.48,2,2565
6/5/2020,,16.89,3,2565
6/5/2020,,17.80,4,2565
6/5/2020,,18.73,5,2295
6/5/2020,,17.70,6,2295
6/5/2020,,15.93,7,2295
6/5/2020,,-5.25,9,2367
6/5/2020,,-20.58,10,2556
6/5/2020,,-30.63,11,2565
6/5/2020,,1.83,12,2565
6/5/2020,,-26.07,16,2331
6/5/2020,,-38.36,17,2543
6/5/2020,,-32.94,18,2565
6/5/2020,,-27.31,19,2565
6/5/2020,,-18.14,20,2565
6/5/2020,,-11.70,21,2565
6/5/2020,,-9.26,22,2565
6/5/2020,,-16.60,23,2565
6/6/2020,,-15.97,0,2565
6/6/2020,,-15.08,1,2565
6/6/2020,,-15.43,2,2565
6/6/2020,,-14.97,3,2565
6/6/2020,,-20.01,4,2565
6/6/2020,,-14.19,5,2565
6/6/2020,,-16.27,6,2565
6/6/2020,,-12.88,7,2565
6/6/2020,,-1.49,8,2565
6/6/2020,,-0.68,10,2479
6/6/2020,,3.46,11,2565
6/6/2020,,-16.85,12,2565
6/6/2020,,-28.33,13,2565
6/6/2020,,-22.09,14,2565
6/6/2020,,-26.08,15,2565
