state,abbr,DA,Wind,RT
6/1/2019 1:00,,-5.1475,1,-16.3175
6/1/2019 2:00,,-3.435,2,-1.2825
6/1/2019 3:00,,-2.5825,3,-1.2075
6/1/2019 4:00,,-2.8375,4,-2.875
6/1/2019 5:00,,-3.5475,5,-3.3775
6/1/2019 6:00,,-3.16,6,-3.15
6/1/2019 7:00,,-2.6375,7,-2.6775
6/1/2019 8:00,,-2.665,8,-2.915
6/1/2019 9:00,,-2.8025,9,-2.7725
6/1/2019 10:00,,-4.7075,10,-4.7975
6/1/2019 11:00,,-2.7575,11,-2.7575
6/1/2019 12:00,,-0.9125,12,-1.1375
6/1/2019 13:00,,-2.695,13,-2.31
6/1/2019 14:00,,76.535,14,72.3275
6/1/2019 15:00,,-8.5175,15,-8.2425
6/1/2019 16:00,,-34.135,16,-34.55
6/1/2019 17:00,,-34.0225,17,-35.875
6/1/2019 18:00,,-24.6575,18,-26.4875
6/1/2019 19:00,,-14.9175,19,-16.975
6/1/2019 20:00,,-11.79,20,-14.0875
6/1/2019 21:00,,-12.0525,21,-13.4775
6/1/2019 22:00,,-12.0175,22,-14.215
6/1/2019 23:00,,-12.3925,23,-15.8475
6/2/2019 0:00,,-8.3375,0,-10.0075
6/2/2019 1:00,,-4.405,1,-24.5875
6/2/2019 2:00,,-2.925,2,-16.6825
6/2/2019 3:00,,-2.895,3,-3.285
6/2/2019 4:00,,-3.7825,4,-4.0825
6/2/2019 5:00,,-2.525,5,-2.795
6/2/2019 6:00,,-2.1975,6,-2.4375
6/2/2019 7:00,,-3.52,7,-3.75
6/2/2019 8:00,,-2.3075,8,-2.5475
6/2/2019 9:00,,-3.355,9,-3.485
6/2/2019 10:00,,-4.655,10,-4.75
6/2/2019 11:00,,-8.005,11,-8.0925
6/2/2019 12:00,,-10.8625,12,-11.395
6/2/2019 13:00,,-13.15,13,-13.535
6/2/2019 14:00,,-10.3925,14,-10.6825
6/2/2019 15:00,,1.4575,15,0.4775
6/2/2019 16:00,,-2.36,16,-3.7475
6/2/2019 17:00,,68.32,17,60.6875
6/2/2019 18:00,,13.1775,18,11.4
6/2/2019 19:00,,4.2275,19,3.5525
6/2/2019 20:00,,0.4825,20,1.2025
6/2/2019 21:00,,-1.81,21,-0.875
6/2/2019 22:00,,11.3475,22,12.2975
6/2/2019 23:00,,-1.385,23,0.51
6/3/2019 0:00,,1.2525,0,3.655
6/3/2019 1:00,,0.3125,1,0.5125
6/3/2019 2:00,,-0.78,2,-0.5625
6/3/2019 3:00,,-1.4575,3,-1.4575
6/3/2019 4:00,,-0.0825,4,0.3275
6/3/2019 5:00,,2.465,5,2.755
6/3/2019 6:00,,4.355,6,4.215
6/3/2019 7:00,,-0.3125,7,-0.5625
6/3/2019 8:00,,1.0775,8,0.8175
6/3/2019 9:00,,8.2775,9,8.6975
6/3/2019 10:00,,1.8,10,2.78
6/3/2019 11:00,,20.2725,11,20.8375
6/3/2019 12:00,,5.2825,12,5.1175
6/3/2019 13:00,,-6.82,13,-6.0025
6/3/2019 14:00,,-7.095,14,-6.255
6/3/2019 15:00,,-15.4375,15,-13.2525
6/3/2019 16:00,,-20.38,16,-19.905
6/3/2019 17:00,,-16.65,17,-17.68
6/3/2019 18:00,,1.1625,18,1.7625
6/3/2019 19:00,,-2.995,19,0.165
6/3/2019 20:00,,-1.8725,20,1.98
6/3/2019 21:00,,-2.0475,21,2.11
6/3/2019 22:00,,-1.6275,22,3.795
6/3/2019 23:00,,-0.8425,23,-2.975
6/4/2019 0:00,,-2.15,0,5.075
6/4/2019 1:00,,-2.295,1,-6.6125
6/4/2019 2:00,,-0.2425,2,0.16
6/4/2019 3:00,,0.525,3,0.595
6/4/2019 4:00,,1.4875,4,1.2675
6/4/2019 5:00,,1.5225,5,1.2925
6/4/2019 6:00,,-0.9325,6,-1.2625
6/4/2019 7:00,,-1.845,7,-1.835
6/4/2019 8:00,,-1.8975,8,-1.98
6/4/2019 9:00,,-3.63,9,-3.74
6/4/2019 10:00,,-2.585,10,-2.435
6/4/2019 11:00,,-6.0525,11,-5.7975
